,train,val,test
0,32032,12222,29615
1,42125,10548,44976
2,28603,63165,54928
3,15486,56861,58947
4,14401,18813,45990
5,15912,38687,6359
6,28066,30369,48506
7,43998,26533,1943
8,6558,56947,39880
9,26190,25923,51346
10,37655,52308,28519
11,1252,34247,15293
12,6898,6951,57468
13,21303,15139,35239
14,8985,46469,17854
15,33976,36204,16494
16,30868,59031,41361
17,62476,8805,32596
18,44530,25792,65371
19,20329,36499,8280
20,,43875,31333
21,,19255,6843
22,,3098,17416
23,,27249,30738
24,,27747,47837
25,,43671,61424
26,,1295,28821
27,,5307,18981
28,,46736,30794
29,,24991,1289
30,,39172,41801
31,,10896,14542
32,,26862,31300
33,,281,9183
34,,34277,57162
35,,40864,49872
36,,18810,53402
37,,12902,44700
38,,30712,46444
39,,18138,12522
40,,5265,7204
41,,50962,22221
42,,57711,286
43,,15188,32042
44,,22924,64771
45,,51679,50246
46,,3222,18607
47,,52752,63367
48,,56993,36678
49,,38019,35792
50,,25331,23523
51,,14312,48502
