,train,val,test
0,61961,35197,52259
1,27315,42857,40888
2,38687,16325,52420
3,8279,54928,58974
4,44283,7482,38349
5,42549,52461,9658
6,43796,52375,7955
7,36063,36302,13526
8,6793,58947,57696
9,44962,55287,38669
10,49995,26124,51832
11,22221,63897,54949
12,55279,30508,51021
13,23629,65371,39146
14,12902,43390,8713
15,28066,3055,9154
16,38048,3881,39365
17,47020,61797,2097
18,4,19255,39425
19,54825,39893,1925
20,59031,6175,1252
21,6558,50932,20858
22,43815,39297,17365
23,38041,47984,49281
24,25256,16209,50712
25,15583,53059,43671
26,34277,32596,5307
27,65022,970,27739
28,33839,17637,1080
29,5852,13364,38097
30,57162,1295,5015
31,38366,63298,17854
32,37307,49872,33708
33,36678,9183,34688
34,35792,56500,39466
35,14312,38849,31793
36,56117,60936,5265
37,5456,52752,63121
38,56799,34822,31383
39,2227,3511,34690
40,,15671,46444
41,,35953,10800
42,,33984,7204
43,,32042,53859
44,,52108,21232
45,,14424,44700
46,,49942,14617
47,,40079,59900
48,,28562,3997
49,,42260,56993
50,,48502,56351
51,,34508,30868
